 	BX	BY	Width	Height
1	85	0	78	59
2	168	178	65	57
3	330	0	150	122
4	0	173	140	323
5	189	398	62	67
6	232	239	168	150
7	455	246	75	64
8	680	0	72	44
9	763	57	77	101
10	628	114	65	72
11	701	207	75	70
12	1034	0	70	39
13	734	315	60	68
14	719	414	90	39
15	654	471	173	150
16	781	621	70	56
17	716	680	60	62
18	548	603	88	206
19	380	752	83	81
20	212	568	134	75
21	0	644	49	54
22	0	758	65	72
23	82	784	59	64
24	129	670	73	70
25	194	758	75	51
26	295	838	67	62
27	153	952	64	67
28	0	990	114	166
29	0	1226	34	54
30	140	1135	65	67
31	67	1228	62	59
32	78	1310	72	72
33	140	1394	69	54
34	252	1120	161	217
35	15	1475	59	69
36	21	1544	147	51
37	147	1595	57	51
38	176	1663	64	54
39	252	1637	70	67
40	0	1903	36	93
41	62	1813	83	101
42	155	1849	65	62
43	165	1986	83	54
44	452	1406	73	86
45	287	1443	129	90
46	380	1531	91	72
47	571	1461	70	49
48	683	1479	62	54
49	769	1523	60	60
50	628	1564	49	47
51	674	1626	67	65
52	734	1714	62	55
53	534	1687	73	71
54	605	1703	67	70
55	283	1740	192	106
56	297	1843	90	75
57	328	1952	70	64
58	390	2009	125	39
59	612	1800	67	59
60	724	1812	59	52
61	974	116	106	108
62	1111	90	96	68
63	872	260	119	137
64	1062	239	103	151
65	907	442	59	54
66	1060	444	72	80
67	977	502	78	101
68	992	628	57	69
69	1373	0	78	31
70	1448	49	65	54
71	1342	75	88	75
72	1251	152	131	199
73	1269	367	57	54
74	1445	184	57	51
75	1495	222	57	59
76	1629	134	60	60
77	1634	201	72	78
78	1766	0	75	54
79	1916	0	106	116
80	1764	85	111	127
81	1730	321	54	46
82	1923	253	76	78
83	1177	711	69	52
84	1194	628	85	69
85	1271	464	145	155
86	1468	336	107	83
87	1587	429	111	209
88	1764	406	77	80
89	1877	380	171	163
90	1745	540	70	67
91	1779	626	129	67
92	1179	876	77	70
93	1391	649	69	67
94	1303	762	357	324
95	632	822	505	509
96	1210	1280	176	207
97	1373	1125	67	75
98	1867	812	70	80
99	1965	874	83	116
100	1929	990	101	93
101	1968	1133	80	155
102	1859	1133	57	64
103	1828	1091	67	62
104	1590	1166	57	47
105	1717	1192	72	80
106	1621	1229	70	77
107	1029	1617	57	54
108	1006	1733	101	131
109	605	1908	78	67
110	876	1991	91	57
111	1195	1668	245	191
112	1306	1893	83	83
113	1349	2001	57	47
114	1450	1996	52	52
115	1707	1981	85	67
116	1497	1706	70	70
117	1477	1598	75	72
118	1652	1636	65	73
119	1769	1637	85	111
120	1569	1776	70	78
121	1880	1500	62	62
122	1932	1608	59	73
123	1950	1738	98	103
124	1755	1787	137	160
125	1918	1867	127	96
126	1712	1298	336	145
