 	BX	BY	Width	Height
1	731	0	178	173
2	1030	122	88	224
3	891	256	63	48
4	924	337	61	57
5	504	0	63	40
6	104	40	69	55
7	439	77	79	69
8	248	101	71	66
9	151	88	66	78
10	92	137	77	84
11	323	194	65	72
12	68	270	77	70
13	103	418	70	72
14	498	389	101	79
15	697	293	102	69
16	854	452	125	173
17	736	480	61	65
18	232	619	88	80
19	110	668	76	57
20	11	753	57	52
21	11	857	59	59
22	115	862	60	56
23	72	1251	70	56
24	63	1042	61	99
25	227	1118	59	63
26	292	1271	61	63
27	347	1087	67	60
28	225	858	124	121
29	500	515	256	191
30	801	655	78	80
31	853	767	65	61
32	943	763	83	105
33	1046	826	72	71
34	1050	931	68	72
35	981	999	63	69
36	456	1143	65	64
37	695	1064	61	54
38	803	1134	59	54
39	850	1224	60	63
40	835	1307	58	54
41	972	1372	69	53
42	567	1209	117	128
43	428	796	326	261
