 	BX	BY	Width	Height
1	306	0	70	48
2	151	47	88	69
3	619	0	122	84
4	869	12	77	97
5	596	134	75	81
6	468	111	63	62
7	495	50	71	82
8	741	138	77	68
9	923	145	101	158
10	279	175	92	65
11	443	238	75	66
12	509	235	83	71
13	706	233	72	76
14	250	317	87	81
15	463	348	74	77
16	350	388	79	75
17	9	424	264	93
18	116	689	81	78
19	193	766	72	73
20	99	859	77	72
21	257	886	90	90
22	441	919	66	71
23	404	767	84	105
24	475	661	74	85
25	574	622	84	95
26	557	699	74	132
27	673	899	65	61
28	609	974	66	50
29	825	1001	62	23
30	834	864	70	64
31	677	741	81	74
32	772	729	87	80
33	874	676	146	135
34	809	487	77	109
35	896	363	71	86
36	645	463	74	74
37	645	380	105	78
38	759	331	79	84
39	322	450	68	74
40	30	569	80	83
