 	BX	BY	Width	Height
1	135	79	51	32
2	205	13	49	46
3	305	119	46	44
4	74	71	31	26
5	51	99	64	69
6	14	161	47	33
7	135	197	46	43
8	93	258	43	36
9	3	235	39	36
10	10	323	30	31
11	0	358	23	25
12	0	389	19	39
13	0	431	22	38
14	74	421	36	42
15	129	411	32	38
16	142	451	51	37
17	151	392	41	32
18	126	313	43	32
19	103	339	35	24
20	91	364	40	39
21	269	161	31	33
22	161	256	59	44
23	263	222	24	29
24	311	219	69	43
25	257	260	26	27
26	327	268	29	27
27	333	313	42	40
28	244	333	59	52
29	203	372	38	30
30	373	408	48	42
31	427	444	22	26
32	329	471	72	24
33	207	204	49	42
34	225	91	30	46
35	133	14	41	40
36	341	11	49	70
37	391	113	58	51
