 	BX	BY	Width	Height
1	350	18	75	66
2	137	168	61	63
3	206	203	59	53
4	2	244	52	89
5	111	318	44	43
6	287	276	129	139
7	255	303	34	36
8	231	326	31	35
9	173	367	84	164
10	120	477	61	54
11	64	502	94	111
12	230	644	51	54
13	106	841	78	67
14	253	865	57	53
15	281	769	71	47
16	328	631	144	78
17	420	423	65	54
18	378	250	60	52
19	45	80	31	58
20	74	78	24	49
21	56	0	60	28
22	500	586	66	93
23	484	158	111	88
24	654	25	127	95
25	813	0	52	49
26	958	31	60	63
27	831	108	70	83
28	712	262	59	64
29	933	211	50	64
30	768	477	67	63
31	833	529	129	114
32	609	226	27	48
33	300	87	28	42
34	542	358	54	62
35	618	414	56	46
36	623	534	57	66
37	343	849	38	30
38	322	932	155	92
39	663	799	177	225
40	864	837	59	62
41	959	931	53	53
42	888	310	61	44
43	559	669	54	41
