 	BX	BY	Width	Height
1	33	23	33	40
2	60	18	32	28
3	337	1	36	30
4	466	71	49	66
5	450	20	26	23
6	37	92	40	67
7	30	238	28	31
8	93	205	43	80
9	201	121	35	38
10	343	177	34	33
11	499	333	16	38
12	293	327	71	61
13	332	294	37	38
14	45	357	31	30
15	107	331	56	46
16	91	402	28	28
17	200	390	35	30
18	59	462	30	35
19	178	439	33	39
20	209	484	27	32
21	174	589	35	35
22	214	566	35	37
23	376	414	36	35
24	403	440	24	30
25	428	475	27	33
26	448	531	24	24
27	380	279	25	29
28	409	553	40	51
29	377	631	34	29
30	103	581	21	28
31	170	161	23	23
