 	BX	BY	Width	Height
1	0	0	31	53
2	395	0	131	44
3	703	122	105	118
4	998	31	26	99
5	794	283	74	66
6	961	317	63	94
7	326	76	62	60
8	330	200	68	64
9	378	180	63	53
10	400	330	63	64
11	325	402	63	61
12	30	478	69	61
13	118	580	63	62
14	10	768	93	90
15	295	782	71	80
16	44	666	63	68
17	569	315	43	61
18	523	403	60	65
19	606	462	74	82
20	785	406	114	160
21	247	588	92	68
22	455	588	93	86
23	646	593	69	80
24	626	262	73	73
25	63	256	78	107
26	484	758	71	76
27	516	71	80	71
28	703	746	82	89
29	820	781	146	81
30	970	690	54	113
31	722	909	83	59
32	864	935	79	76
33	449	961	77	63
34	229	993	75	31
35	0	958	80	66
36	255	478	81	81
