 	BX	BY	Width	Height
1	196	0	67	61
2	73	17	35	31
3	103	63	55	39
4	13	0	32	32
5	290	54	34	31
6	13	97	29	25
7	0	125	28	28
8	0	203	22	64
9	61	233	33	30
10	103	190	25	24
11	0	295	32	30
12	63	291	48	21
13	76	323	26	26
14	115	347	30	30
15	38	409	35	26
16	172	405	41	30
17	167	196	51	38
18	252	208	26	29
19	264	148	40	33
20	348	119	35	39
21	478	16	30	31
22	525	59	42	37
23	574	103	27	47
24	532	188	34	38
25	576	224	25	38
26	548	269	41	28
27	498	275	33	33
28	421	122	75	82
29	362	239	48	56
30	109	261	30	26
31	202	255	55	65
32	226	399	30	31
33	314	314	68	43
34	302	391	25	22
35	315	422	51	13
36	420	308	34	46
37	264	97	34	33
38	426	256	38	36
39	488	174	39	43
40	565	306	36	36
41	493	310	51	40
42	375	371	35	28
43	513	374	88	61
