 	BX	BY	Width	Height
1	0	17	22	30
2	49	20	28	28
3	81	3	67	58
4	69	105	37	36
5	16	142	33	38
6	0	248	14	25
7	0	334	46	32
8	146	100	70	43
9	184	176	33	35
10	229	170	34	36
11	274	138	18	31
12	356	60	41	45
13	444	85	37	39
14	393	124	34	42
15	415	167	40	37
16	478	166	38	44
17	168	396	35	33
18	117	487	30	31
19	88	504	20	19
20	239	384	31	36
21	277	390	34	37
22	199	468	26	22
23	250	596	26	25
24	280	616	34	34
25	383	589	97	45
26	409	286	37	38
27	441	330	30	32
28	384	366	33	37
29	421	433	28	32
30	470	393	34	36
