 	BX	BY	Width	Height
1	0	5	13	26
2	78	0	30	13
3	73	31	28	22
4	46	92	17	24
5	99	75	26	28
6	169	5	66	50
7	338	3	27	21
8	438	12	28	31
9	182	107	60	42
10	124	122	31	24
11	69	153	36	63
12	142	182	30	29
13	0	215	14	27
14	294	57	29	26
15	255	37	37	42
16	327	84	32	22
17	350	60	25	28
18	383	86	29	28
19	364	114	27	20
20	365	141	30	34
21	410	245	31	40
22	248	137	33	33
23	239	198	47	48
24	334	292	31	25
25	102	243	82	49
26	10	286	41	32
27	39	395	28	27
28	172	302	42	39
29	203	343	41	35
30	251	367	44	33
31	361	324	69	72
32	469	362	15	30
33	52	517	68	34
34	77	454	67	42
35	169	467	29	23
36	225	471	29	35
37	284	509	30	31
38	409	423	30	30
39	382	179	24	26
