 	BX	BY	Width	Height
1	17	40	63	60
2	193	0	69	53
3	127	100	64	67
4	282	53	91	101
5	352	28	84	68
6	630	32	84	80
7	950	0	69	48
8	799	0	66	36
9	158	310	87	100
10	262	416	60	57
11	76	575	120	117
12	278	523	127	210
13	706	214	146	158
14	945	381	76	73
15	877	543	143	166
16	626	531	52	64
17	462	383	119	159
18	372	278	64	71
19	604	293	63	73
20	366	146	58	66
21	658	112	67	59
22	535	147	68	69
23	596	235	63	55
24	0	186	32	78
25	84	407	57	56
26	0	843	102	107
27	248	909	181	93
28	237	778	93	69
29	613	628	51	64
30	621	703	58	56
31	736	732	54	59
32	957	813	66	79
33	924	955	91	69
34	551	871	79	65
35	489	810	63	64
36	677	948	130	76
